id,Address,Name,City,Time,Latitude,Longitude,timestamp
75,Rodūnios kl. 10A,Vilniaus oro uostas,Vilnius,3/14/2020,54.6408829,25.269797600000004,1584136800.0
76,Rodūnios kl. 10A,Vilniaus oro uostas,Vilnius,3/13/2020,54.6408829,25.269797600000004,1584050400.0
77,Rodūnios kl. 10A,Vilniaus oro uostas,Vilnius,3/13/2020,54.6408829,25.269797600000004,1584050400.0
78,Krykalnis 60375,Kryzkalnio autobusų stotis,Kryzkalnis,3/9/2020,55.4690625,22.6904313,1583704800.0
79,Dariaus ir Girėno g.112,Norfa XL,Jurbarkas,3/20/2020,55.0789049,22.774841199999997,1584655200.0
80,Dariaus ir Girėno g.112,Norfa XL,Jurbarkas,3/19/2020,55.0789049,22.774841199999997,1584568800.0
81,Dariaus ir Girėno g.112,Norfa XL,Jurbarkas,3/18/2020,55.0789049,22.774841199999997,1584482400.0
82,Dariaus ir Girėno g.112,Norfa XL,Jurbarkas,3/17/2020,55.0789049,22.774841199999997,1584396000.0
83,Dariaus ir Girėno g.112,Norfa XL,Jurbarkas,3/16/2020,55.0789049,22.774841199999997,1584309600.0
84,Dariaus ir Girėno g.112,Norfa XL,Jurbarkas,3/15/2020,55.0789049,22.774841199999997,1584223200.0
85,Dariaus ir Girėno g.112,Norfa XL,Jurbarkas,3/14/2020,55.0789049,22.774841199999997,1584136800.0
86,Dariaus ir Girėno g.112,Norfa XL,Jurbarkas,3/13/2020,55.0789049,22.774841199999997,1584050400.0
87,Dariaus ir Girėno g.112,Norfa XL,Jurbarkas,3/12/2020,55.0789049,22.774841199999997,1583964000.0
88,Dariaus ir Girėno g.112,Norfa XL,Jurbarkas,3/11/2020,55.0789049,22.774841199999997,1583877600.0
89,Dariaus ir Girėno g.112,Norfa XL,Jurbarkas,3/10/2020,55.0789049,22.774841199999997,1583791200.0
90,Dariaus ir Girėno g.112,Norfa XL,Jurbarkas,3/9/2020,55.0789049,22.774841199999997,1583704800.0
